,NAME,TYPE,DESCRIPTION,OBSERVABLE?
,j_generic_current,vector,Placeholder for other current drive sources.,No
,v_loop,vector,v_loop radial profile,No
Confinement / performance indicators,,,,
,H20,scalar,H20 scalar measurement,Yes
,H89P,scalar,H89P scalar measurement,Yes
,H97L,scalar,H97L scalar measurement,Yes
,H98,scalar,Performance factor vs ITER H‑mode scaling; >1 means better than expected.,Yes
,Q_fusion,scalar,Fusion gain: fusion power divided by external heating.,Yes
,beta_N,scalar,Normalized beta; key metric for high‑performance operation.,Yes
,beta_pol,scalar,Poloidal beta; relates to shaping and stability.,Yes
,beta_tor,scalar,Toroidal beta; fraction of pressure relative to magnetic pressure.,Yes
,dW_thermal_dt,scalar,Change in stored energy,Yes
,tau_E,scalar,Energy confinement time; how long heat stays in plasma.,Yes
Heating power accounting,,,,
,E_aux,scalar,Total auxiliary heating energy delivered so far.,Yes
,E_fusion,scalar,Total fusion energy generated so far.,Yes
,P_alpha_e,scalar,Alpha heating power deposited into electrons.,No
,P_alpha_i,scalar,Alpha heating power deposited into ions.,No
,P_alpha_total,scalar,Total alpha heating power (main internal heating source in a burning plasma).,Yes
,P_aux_e,scalar,Total auxiliary heating delivered to electrons.,No
,P_aux_i,scalar,Total auxiliary heating delivered to ions.,No
,P_aux_total,scalar,Total auxiliary heating power.,Yes
,P_bremsstrahlung_e,scalar,Total bremsstrahlung radiation power loss from electrons.,No
,P_cyclotron_e,scalar,Cyclotron radiation losses from electrons.,Yes
,P_ei_exchange_e,scalar,Energy transfered to electrons from ions.,No
,P_ei_exchange_i,scalar,Energy transfered to ions from electrons.,No
,P_external_injected,scalar,Total externally injected heating power from all sources.,No
,P_ohmic_e,scalar,Ohmic heating.,No
Scrape-off layer (plasma edge) power,,,,
,P_SOL_e,scalar,P_SOL_e scalar measurement,No
,P_SOL_i,scalar,P_SOL_i scalar measurement,No
,P_SOL_total,scalar,Total power flowing to the scrape‑off layer.,Yes
Global geometry,,,,
,B_0,scalar,Toroidal magnetic field at magnetic axis.,Yes
,R_major,scalar,Major radius of plasma center.,Yes
,a_minor,scalar,Minor radius of plasma cross‑section.,Yes
Safety factor-related scalars,,,,
,q95,scalar,Safety factor at 95% radius; strong stability indicator.,Yes
,q_min,scalar,Minimum safety factor; low values risk instabilities.,Yes
,rho_q_min,scalar,Radial location of minimum q.,Yes
External fueling sources,,,,
,S_gas_puff,scalar,Gas puff fueling source.,Yes
,S_generic_particle,scalar,Pellet injection fueling source.,Yes
,S_pellet,scalar,Generic particle source.,Yes
,S_total,scalar,Sum of all fueling sources.,Yes
Energetics,,,,
,W_pol,scalar,Poloidal magnetic field energy.,Yes
,W_thermal_e,scalar,Electron stored thermal energy in plasma.,Yes
,W_thermal_i,scalar,Ion stored thermal energy in plasma.,Yes
,W_thermal_total,scalar,Total stored thermal energy in plasma.,Yes
"Densities, averages, and Greenwald fraction",,,,
,fgw_n_e_line_avg,scalar,Line-averaged Greenwald fraction.,Yes
,fgw_n_e_volume_avg,scalar,Volume-averaged Greenwald fraction.,Yes
,n_e_line_avg,scalar,Line-averaged electron density.,Yes
,n_e_volume_avg,scalar,Volume-averaged electron density.,Yes
Other scalars,,,,
,A_i,scalar,Mass number of the main ion species.,Yes
,A_impurity,scalar,Mass number of the main impurity species.,Yes
,I_aux_generic,scalar,Net external driven current from generic systems.,Yes
,I_bootstrap,scalar,Total bootstrap current.,Yes
,I_ecrh,scalar,Current driven by ECRH.,Yes
,P_LH,scalar,Power threshold estimate for L–H transition.,No
,P_LH_high_density,scalar,Power threshold estimate for L–H transition.,No
,P_LH_min,scalar,Power threshold estimate for L–H transition.,No
,P_aux_generic_e,scalar,Generic deposition of heating power.,No
,P_aux_generic_i,scalar,Generic deposition of heating power.,No
,P_icrh_e,scalar,Electron totals for ICRH heating power.,No
,P_icrh_i,scalar,Ion totals for ICRH heating power.,No
,P_icrh_total,scalar,Total ICRH heating power.,Yes
,P_radiation_e,scalar,P_radiation_e scalar measurement.,No
,Phi_b,scalar,Boundary toroidal flux.,Yes
,Phi_b_dot,scalar,Derivative of the boundary toroidal flux.,Yes
,T_e_volume_avg,scalar,Electron temperature averaged over plasma volume.,No
,T_i_volume_avg,scalar,Ion temperature averaged over volume.,No
,drho,scalar,Spacing between radial grid points (for the profile arrays).,No
,drho_norm,scalar,Normalized radial grid points spacing.,No
,li3,scalar,Lithium-3 internal inductance.,Yes
,n_e_min_P_LH,scalar,n_e_min_P_LH scalar measurement,No
,n_i_line_avg,scalar,Line-averaged ion density.,No
,n_i_volume_avg,scalar,Volume-averaged ion density.,No
,rho_b,scalar,rho_b scalar measurement.,No
,rho_q_2_1_first,scalar,First/second crossings of q = m/n surface.,No
,rho_q_2_1_second,scalar,First/second crossings of q = m/n surface.,No
,rho_q_3_1_first,scalar,First/second crossings of q = m/n surface.,No
,rho_q_3_1_second,scalar,First/second crossings of q = m/n surface.,No
,rho_q_3_2_first,scalar,First/second crossings of q = m/n surface.,No
,rho_q_3_2_second,scalar,First/second crossings of q = m/n surface.,No
,v_loop_lcfs,scalar,Loop voltage measured at the last closed flux surface.,Yes
